"query_id","query_type","query","strategy","rank","score","title","topic_label","doi","fragment","is_relevant"
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","TF-IDF + coseno",1,0.4277,"A Quantum-like Approach to Semantic Text Classification","Machine Learning","https://doi.org/10.3390/e27070767","In this work, we conduct a sentiment analysis of English-language reviews using a quantum-like (wave-based) model of text representation. This model is explored as an alternative to machine learning (ML) techniques for text classification and analysis tasks. Special attention is given to the problem of segmenting text i...",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","TF-IDF + coseno",2,0.4248,"Multilevel Context Learning with Large Language Models for Text-Attributed Graphs on Social Networks","IA Generativa","https://doi.org/10.3390/e27030286","... learning methods focus on designing frameworks that convey graph structures to large language models (LLMs) to generate semantic embeddings for downstream graph neural networks (GNNs). However, these methods only provide text attributes for nodes, which fails to capture the multilevel context and leads to the loss of v...",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","TF-IDF + coseno",3,0.4192,"Harnessing the Power of Pre-Trained Models for Efficient Semantic Communication of Text and Images <U+2020>","IA Generativa","https://doi.org/10.3390/e27080813","This paper investigates point-to-point multimodal digital semantic communications in a task-oriented setup, where messages are classified at the receiver. We employ a pre-trained transformer model to extract semantic information and propose three methods for generating semantic codewords. First, we propose semantic quan...",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","TF-IDF + coseno",4,0.3444,"CurveMark: Detecting AI-Generated Text via Probabilistic Curvature and Dynamic Semantic Watermarking","IA Generativa","https://doi.org/10.3390/e27080784","Large language models (LLMs) pose significant challenges to content authentication, as their sophisticated generation capabilities make distinguishing AI-produced text from human writing increasingly difficult. Current detection methods suffer from limited information capture, poor rate<U+2013>distortion trade-offs, and vulner...",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","TF-IDF + coseno",5,0.3089,"TSTBench: A Comprehensive Benchmark for Text Style Transfer","IA Generativa","https://doi.org/10.3390/e27060575","...e task and evaluation processes to guide future research in TST. Keywords: text style transfer;large language models (LLMs);text generation;transformer;benchmark;deep learning;natural language processing (NLP)",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","LSA/SVD + coseno",1,0.6865,"TSTBench: A Comprehensive Benchmark for Text Style Transfer","IA Generativa","https://doi.org/10.3390/e27060575","...e task and evaluation processes to guide future research in TST. Keywords: text style transfer;large language models (LLMs);text generation;transformer;benchmark;deep learning;natural language processing (NLP)",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","LSA/SVD + coseno",2,0.6782,"LLM-Enhanced Chinese Morph Resolution in E-Commerce Live Streaming Scenarios","IA Generativa","https://doi.org/10.3390/e27070698","...ion knowledge<U+2014>predefined morph-type labels, LLM-generated reference corrections, and natural-language rationales constrained for clarity and comprehensiveness<U+2014>from a frozen large language model. These annotations are concatenated with the original morphed sentence and used to fine-tune a lightweight T5 model under a sta...",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","LSA/SVD + coseno",3,0.6754,"A Quantum-like Approach to Semantic Text Classification","Machine Learning","https://doi.org/10.3390/e27070767","In this work, we conduct a sentiment analysis of English-language reviews using a quantum-like (wave-based) model of text representation. This model is explored as an alternative to machine learning (ML) techniques for text classification and analysis tasks. Special attention is given to the problem of segmenting text i...",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","LSA/SVD + coseno",4,0.6708,"Lightweight Pre-Trained Korean Language Model Based on Knowledge Distillation and Low-Rank Factorization","IA Generativa","https://doi.org/10.3390/e27040379","Natural Language Processing (NLP) stands as a forefront of artificial intelligence research, empowering computational systems to comprehend and process human language as used in everyday contexts. Language models (LMs) underpin this field, striving to capture the intricacies of linguistic structure and semantics by assi...",1
"Q2_sinonimos","sinonimos o terminos relacionados","language models text generation semantic embeddings","LSA/SVD + coseno",5,0.6605,"ExSPIN: Explicit Feedback-Based Self-Play Fine-Tuning for Text-to-SQL Parsing","IA Generativa","https://doi.org/10.3390/e27030235","...self-play fine-tuning (SPIN) has garnered widespread attention as it enables large language models (LLMs) to iteratively enhance their capabilities through simulated interactions with themselves, transforming a weak LLM into a strong one. However, applying SPIN to fine-tune text-to-SQL models presents substantial challe...",1
"Q3_general","general","entropy statistical physics complex systems","TF-IDF + coseno",1,0.3278,"Information-Theoretic Concepts in Physics","Otros","https://doi.org/10.3390/e27030270","Sin resumen disponible.",1
"Q3_general","general","entropy statistical physics complex systems","TF-IDF + coseno",2,0.306,"Application of the Hill-Wheeler Formula in Statistical Models of Nuclear Fission: A Statistical<U+2013>Mechanical Approach Based on Similarities with Semiconductor Physics","Estad<U+00ED>stica","https://doi.org/10.3390/e27030227","This study proposes a novel theoretical approach to understanding the statistical<U+2013>mechanical similarities between nuclear fission phenomena and semiconductor physics. Using the Hill<U+2013>Wheeler formula as a quantum mechanical distribution function and establishing its correspondence with the Fermi<U+2013>Dirac distribution functio...",1
"Q3_general","general","entropy statistical physics complex systems","TF-IDF + coseno",3,0.2619,"Entropy Alternatives for Equilibrium and Out-of-Equilibrium Systems","Estad<U+00ED>stica","https://doi.org/10.3390/e27070689","We introduce a novel entropy-related function, non-repeatability, designed to capture dynamical behaviors in complex systems. Its normalized form, mutability, has been previously applied in statistical physics as a dynamical entropy measure associated with any observable stored in a sequential file. We now extend this c...",1
"Q3_general","general","entropy statistical physics complex systems","TF-IDF + coseno",4,0.2546,"Information<U+2013>Entropy Analysis of Stellar Evolutionary Stages with Application to FS CMa Objects","Machine Learning","https://doi.org/10.3390/e27111106","Theoretical foundations are presented for the application of information<U+2013>entropy methods from statistical physics to the determination of stellar evolutionary stages. A balance equation involving normalized conditional information and entropy is proposed. The conditional information is defined as the difference between ...",1
"Q3_general","general","entropy statistical physics complex systems","TF-IDF + coseno",5,0.2363,"Multiscale Simplicial Complex Entropy Analysis of Heartbeat Dynamics","Estad<U+00ED>stica","https://doi.org/10.3390/e27050467","...sent study proposes a multiscale analysis of the simplicial complex approximate entropy (MS-SCAE) applied to cardiac interbeat series. The MS-SCAE method is based on quantifying the changes in the simplicial complex associated with the time series when a coarse-grained procedure is performed. Our findings are consistent...",1
"Q3_general","general","entropy statistical physics complex systems","LSA/SVD + coseno",1,0.6532,"Application of the Hill-Wheeler Formula in Statistical Models of Nuclear Fission: A Statistical<U+2013>Mechanical Approach Based on Similarities with Semiconductor Physics","Estad<U+00ED>stica","https://doi.org/10.3390/e27030227","This study proposes a novel theoretical approach to understanding the statistical<U+2013>mechanical similarities between nuclear fission phenomena and semiconductor physics. Using the Hill<U+2013>Wheeler formula as a quantum mechanical distribution function and establishing its correspondence with the Fermi<U+2013>Dirac distribution functio...",1
"Q3_general","general","entropy statistical physics complex systems","LSA/SVD + coseno",2,0.5057,"Information-Theoretic Concepts in Physics","Otros","https://doi.org/10.3390/e27030270","Sin resumen disponible.",1
"Q3_general","general","entropy statistical physics complex systems","LSA/SVD + coseno",3,0.4962,"Entropy and Complexity Tools Across Scales in Neuroscience: A Review","Estad<U+00ED>stica","https://doi.org/10.3390/e27020115","... one of the most significant challenges in modern neuroscience. Two key concepts, entropy and complexity, have been increasingly employed by neuroscientists as powerful tools for characterizing the interplay between structure and function in the brain across scales. The flexibility of these two concepts enables research...",1
"Q3_general","general","entropy statistical physics complex systems","LSA/SVD + coseno",4,0.4043,"The Gibbs Fundamental Relation as a Tool for Relativity","Estad<U+00ED>stica","https://doi.org/10.3390/e27010074","...tle effort, and exploit the fact that the energy conjugate extensive quantities, namely entropy and amount of substance, are Lorentz-invariant. Keywords: relativistic thermodynamics;entropy;chemical potential;Gibbs fundamental relation",1
"Q3_general","general","entropy statistical physics complex systems","LSA/SVD + coseno",5,0.4001,"Entropy Alternatives for Equilibrium and Out-of-Equilibrium Systems","Estad<U+00ED>stica","https://doi.org/10.3390/e27070689","We introduce a novel entropy-related function, non-repeatability, designed to capture dynamical behaviors in complex systems. Its normalized form, mutability, has been previously applied in statistical physics as a dynamical entropy measure associated with any observable stored in a sequential file. We now extend this c...",1
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","TF-IDF + coseno",1,0.6564,"A Martingale-Free Introduction to Conditional Gaussian Nonlinear Systems","Estad<U+00ED>stica","https://doi.org/10.3390/e27010002","The conditional Gaussian nonlinear system (CGNS) is a broad class of nonlinear stochastic dynamical systems. Given the trajectories for a subset of state variables, the remaining follow a Gaussian distribution. Despite the conditionally linear structure, the CGNS exhibits strong nonlinearity, thus capturing many non-Gau...",1
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","TF-IDF + coseno",2,0.3196,"Enhancing Robustness of Variational Data Assimilation in Chaotic Systems: An <U+03B1>-4DVar Framework with R<U+00E9>nyi Entropy and <U+03B1>-Generalized Gaussian Distributions","Estad<U+00ED>stica","https://doi.org/10.3390/e27070763","...4-dimensional variational data assimilation methods have limitations due to the Gaussian distribution assumption of observation errors, and the gradient of the objective functional is vulnerable to observation noise and outliers. To address these issues, this paper proposes a non-Gaussian nonlinear data assimilation met...",1
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","TF-IDF + coseno",3,0.3038,"Nonlinear Shrinkage Estimation of Higher-Order Moments for Portfolio Optimization Under Uncertainty in Complex Financial Systems","Estad<U+00ED>stica","https://doi.org/10.3390/e27101083","This paper develops a nonlinear shrinkage estimation method for higher-order moment matrices within a multifactor model framework and establishes its asymptotic consistency under high-dimensional settings. The approach extends the nonlinear shrinkage methodology from covariance to higher-order moments, thereby mitigatin...",0
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","TF-IDF + coseno",4,0.3036,"Nonlinear Dynamics and Applications","Otros","https://doi.org/10.3390/e27070688","Sin resumen disponible.",0
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","TF-IDF + coseno",5,0.2531,"Sinkhorn Distributionally Robust Conditional Quantile Prediction with Fixed Design","Machine Learning","https://doi.org/10.3390/e27060557","This paper proposes a novel data-driven distributionally robust framework for conditional quantile prediction under the fixed design setting of the covariates, which we refer to as Sinkhorn distributionally robust conditional quantile prediction. We derive a convex programming dual reformulation of the proposed problem ...",0
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","LSA/SVD + coseno",1,0.717,"Nonlinear Dynamics and Applications","Otros","https://doi.org/10.3390/e27070688","Sin resumen disponible.",0
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","LSA/SVD + coseno",2,0.6625,"A Martingale-Free Introduction to Conditional Gaussian Nonlinear Systems","Estad<U+00ED>stica","https://doi.org/10.3390/e27010002","The conditional Gaussian nonlinear system (CGNS) is a broad class of nonlinear stochastic dynamical systems. Given the trajectories for a subset of state variables, the remaining follow a Gaussian distribution. Despite the conditionally linear structure, the CGNS exhibits strong nonlinearity, thus capturing many non-Gau...",1
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","LSA/SVD + coseno",3,0.623,"Nonlinear Shrinkage Estimation of Higher-Order Moments for Portfolio Optimization Under Uncertainty in Complex Financial Systems","Estad<U+00ED>stica","https://doi.org/10.3390/e27101083","This paper develops a nonlinear shrinkage estimation method for higher-order moment matrices within a multifactor model framework and establishes its asymptotic consistency under high-dimensional settings. The approach extends the nonlinear shrinkage methodology from covariance to higher-order moments, thereby mitigatin...",0
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","LSA/SVD + coseno",4,0.5913,"Adaptive Belief Rule Base Modeling of Complex Industrial Systems Based on Sigmoid Functions","Estad<U+00ED>stica","https://doi.org/10.3390/e27111157","In response to the challenges posed by multifactorial nonlinear relationships and uncertainties, and to address the limitations of the existing Belief Rule Base (BRB) in nonlinear fitting, uncertainty representation, and parameter optimization, this paper presents an improved reliable modeling method using a nonlinear b...",0
"Q4_especifica","especifica","conditional gaussian nonlinear systems data assimilation uncertainty","LSA/SVD + coseno",5,0.5812,"Postural Control Adaptations in Trampoline Athletes of Different Competitive Levels: Insights from COP Linear and Nonlinear Measures","Estad<U+00ED>stica","https://doi.org/10.3390/e27121181","...te trampolinists (ETs) and sub-elite trampolinists (Sub-ET) by integrating linear and nonlinear center of pressure (COP) measures across stable and unstable surfaces. Twenty-four male athletes (12 ET, 12 Sub-ET) participated. Each participant performed 15-s static standing trials with eyes closed on a firm surface (FI) ...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","TF-IDF + coseno",1,0.4575,"Stabilized Radial Basis Function Finite Difference Schemes with Mass Conservation for the Cahn<U+2013>Hilliard Equation on Surfaces","Otros","https://doi.org/10.3390/e27121206","...at the Cahn<U+2013>Hilliard equation satisfies the energy dissipation law and the mass conservation property. Recently, the radial basis function<U+2013>finite difference (RBF<U+2013>FD) approach and its numerous variants have garnered significant attention for the numerical solution of surface-related problems, owing to their intrinsic adv...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","TF-IDF + coseno",2,0.3069,"Mining Complex Ecological Patterns in Protected Areas: An FP-Growth Approach to Conservation Rule Discovery","Estad<U+00ED>stica","https://doi.org/10.3390/e27070725","... approach demonstrates the interpretability, scalability, and practical relevance of ARM in biodiversity management, offering a replicable method for supporting adaptive ecological decision making across complex protected area networks. Keywords: ecological information systems;fish species distribution modeling;associat...",1
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","TF-IDF + coseno",3,0.219,"Disentanglement<U+2014>Induced Superconductivity","Otros","https://doi.org/10.3390/e27060630","...rrent study is motivated by a difficulty in reconciling between particle number conservation and superconductivity. An alternative modeling, which is based on the hypothesis that disentanglement spontaneously ocuurs in quantum systems, is explored. The Fermi<U+2013>Hubbard mode is employed to demonstrate a disentanglement-indu...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","TF-IDF + coseno",4,0.1854,"2024 <U+2018>Key Reflections<U+2019> on Sadi Carnot<U+2019>s 1824 <U+2018>R<U+00E9>flexions<U+2019> and 200 Year Legacy","Otros","https://doi.org/10.3390/e27050502","...he heat in and out was comparable within experimental uncertainty, as if caloric were conserved), the conservation of caloric flourished (might be a fortunate misconception leading to the critical analogy with the waterwheel), and many critical thermal concepts, including the conservation of energy (The First Law), were...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","TF-IDF + coseno",5,0.1696,"(Finite-Time) Thermodynamics, Hyperbolicity, Lorentz Invariance: Study of an Example","Estad<U+00ED>stica","https://doi.org/10.3390/e27070700","...ields: finite-time thermodynamics, relativity theory, and the theory of hyperbolic conservation laws. Each of these fields has its own requirements and richness, and in order to link them together as effectively as possible, we have simplified each one, reducing it to its fundamental principles. The example chosen conce...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","LSA/SVD + coseno",1,0.527,"Stabilized Radial Basis Function Finite Difference Schemes with Mass Conservation for the Cahn<U+2013>Hilliard Equation on Surfaces","Otros","https://doi.org/10.3390/e27121206","...at the Cahn<U+2013>Hilliard equation satisfies the energy dissipation law and the mass conservation property. Recently, the radial basis function<U+2013>finite difference (RBF<U+2013>FD) approach and its numerous variants have garnered significant attention for the numerical solution of surface-related problems, owing to their intrinsic adv...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","LSA/SVD + coseno",2,0.4196,"A New Analytical Formulation for the Electrophoretic Mobility of a Colloidal Sphere","Otros","https://doi.org/10.3390/e27040336","A new analytical equation for the electrophoretic mobility of a colloidal sphere, homogeneously charged, is derived. This equation reduces to the well-known Henry<U+2019>s formulation for low surface potentials. For high surface potentials, the equation is compared to the full numerical result. It is found that the equation pe...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","LSA/SVD + coseno",3,0.4029,"A Dissipative Phenomenon: The Mechanical Model of the Cosmological Axion Influence","Otros","https://doi.org/10.3390/e27101036","The appearance of a negative mass term in the classical, non-relativistic Klein<U+2013>Gordon equation deduced from mechanical interactions describes a repulsive interaction. In the case of a traveling wave, this results in an increase in amplitude and a decrease in the wave propagation velocity. Since this leads to dissipatio...",0
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","LSA/SVD + coseno",4,0.3997,"Mining Complex Ecological Patterns in Protected Areas: An FP-Growth Approach to Conservation Rule Discovery","Estad<U+00ED>stica","https://doi.org/10.3390/e27070725","... approach demonstrates the interpretability, scalability, and practical relevance of ARM in biodiversity management, offering a replicable method for supporting adaptive ecological decision making across complex protected area networks. Keywords: ecological information systems;fish species distribution modeling;associat...",1
"Q5_dificil","caso poco relevante","marine ecology biodiversity conservation","LSA/SVD + coseno",5,0.3976,"Disentanglement<U+2014>Induced Superconductivity","Otros","https://doi.org/10.3390/e27060630","...rrent study is motivated by a difficulty in reconciling between particle number conservation and superconductivity. An alternative modeling, which is based on the hypothesis that disentanglement spontaneously ocuurs in quantum systems, is explored. The Fermi<U+2013>Hubbard mode is employed to demonstrate a disentanglement-indu...",0
