consulta_id,consulta,doi,titulo,resumen_corto,n_metodos,mejor_posicion,relevante
Q3,artificial intelligence applications,10.1007/s10462-024-11033-5,Edge deep learning in computer vision and medical diagnostics: a comprehensive survey,"Edge deep learning, a paradigm change reconciling edge computing and deep learning, facilitates real-time decision making attuned to environmental factors through the close integration of computational resources and data sources. Here we provide a comprehensiv",1,5.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11306-7,AI-mediated healthcare and trust. A trust-construct and trust-factor framework for empirical research,"Application of Artificial Intelligence (AI) in healthcare is growing exponentially, and its use is expected to continue expanding in the coming years. However, lack of trust in AI systems remains a significant barrier to their widespread adoption. This article",1,7.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-026-11581-y,Explainable artificial intelligence for web application threat detection: a systematic review,"Web applications have become integral to critical sectors such as finance, healthcare, and e-commerce, making them prime targets for cyberattacks. Traditional security mechanisms, including Web Application Firewalls (WAFs) and signature-based Intrusion Detecti",1,7.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11119-8,"Applications of deep learning algorithms in ischemic stroke detection, segmentation, and classification","Ischemic, one of the fatal diseases characterized by insufficient blood supply to tissues poses a significant global health burden, necessitating the development of robust diagnostic and classification methodologies. Timely identification, intervention, and tr",1,8.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11246-2,"Face-based machine learning diagnostics: applications, challenges and opportunities","Traditional medical diagnostic methods face bottlenecks such as high cost, poor accessibility, and delayed diagnosis in genetic syndromes, neurological disorders, psychiatric disorders, and endocrine disorders. Face-based machine learning (ML) technology provi",1,8.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-026-11545-2,Generative AI and LLM applications in renewable energy and smart grids: a systematic review for the sustainable energy transition,"The global energy transition toward decarbonization and digitalization requires advanced methods to manage decentralized, data-intensive cyber-physical energy systems. This systematic review analyzes 106 research studies on Generative Artificial Intelligence (",1,8.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11180-3,Computer vision based approaches for fish monitoring systems: a comprehensive study,"Fish monitoring has become increasingly popular due to its growing real-world applications and recent advancements in intelligent technologies such as AI, Computer Vision, and Robotics. The primary objective of this article is to review benchmark datasets used",1,9.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11141-w,An assessment framework for explainable AI with applications to cybersecurity,"Several explainable AI methods are available, but there is a lack of a systematic comparison of such methods. This paper contributes in this direction, by providing a framework for comparing alternative explanations in terms of complexity and robustness. We ex",1,10.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11328-1,Content moderation by LLM: from accuracy to legitimacy,One trending application of LLM (large language model) is to use it for content moderation in online platforms. Most current studies on this application have focused on the metric of accuracy—the extent to which LLMs make correct decisions about content. This ,1,10.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11351-2,Swarm intelligence techniques and their applications in fog/edge computing: an in-depth review,Recent advances in the Internet of Things (IoT) have connected diverse devices that often have limited resources and processing power. Artificial intelligence (AI) applications in fog and edge computing are greatly enhanced by Swarm Intelligence (SI) technique,1,10.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-026-11628-0,Zeroing neural network for optimization: A survey of theory and applications,"Zeroing neural network (ZNN) provides a dynamical-systems approach for solving time-varying optimization problems. This survey revisits ZNN from an optimization-oriented perspective. First, recent advances in ZNN are reviewed, including error construction, con",1,10.0,1.0
Q5,aprendizaje profundo para el diagnostico de enfermedades,10.1007/s10462-025-11246-2,"Face-based machine learning diagnostics: applications, challenges and opportunities","Traditional medical diagnostic methods face bottlenecks such as high cost, poor accessibility, and delayed diagnosis in genetic syndromes, neurological disorders, psychiatric disorders, and endocrine disorders. Face-based machine learning (ML) technology provi",1,10.0,1.0
Q6,cars that drive themselves without a human,10.1007/s10462-025-11342-3,"A comprehensive review on key technologies toward smart healthcare systems based IoT: technical aspects, challenges and future directions","The unexpected death of humans due to a lack of medical care is a serious problem. Additionally, the number of elderly people requiring continuous care is increasing. A global aging population poses a challenge to the sustainability of conventional healthcare ",4,2.0,0.0
Q6,cars that drive themselves without a human,10.1007/s10462-025-11275-x,"A systematic literature review on human activity recognition using smart devices: advances, challenges, and future directions","With improvement in AI and deep learning, Human Activity Recognition (HAR) has started to play an important role in many real-world applications. These range from healthcare and elderly care to security to enhancing user experience in smart environments. Smart",4,4.0,0.0
Q6,cars that drive themselves without a human,10.1007/s10462-025-11296-6,A comprehensive review of AI methods in upper extremity/limb bone fracture detection,"Accurate detection of bone fractures is crucial for patient care, however, the traditional manual review of medical images like X-rays, Computed Tomography (CT) scans, Magnetic Resonance Imaging (MRIs), and ultrasounds is time-consuming and labor-intensive. Th",3,8.0,0.0
Q6,cars that drive themselves without a human,10.1007/s10462-025-11487-1,"Artificial intelligence-generated content (AIGC) in biomedical research, healthcare delivery, and clinical practices: technologies, applications, and regulatory considerations","Artificial Intelligence-Generated Content (AIGC) represents a paradigm shift in biomedical research and healthcare delivery, offering unprecedented capabilities for content creation, medical data analysis, and patient care optimization. This review examines th",2,3.0,0.0
Q6,cars that drive themselves without a human,10.1007/s10462-025-11160-7,A comprehensive review of artificial intelligence - based algorithm towards fetal facial anomalies detection (2013–2024),"This review explores the growing need for AI-based algorithms in diagnosing fetal facial anomalies, which are often difficult to detect due to limitations in current imaging techniques like ultrasound and MRI. These challenges include low resolution, motion ar",1,6.0,0.0
Q6,cars that drive themselves without a human,10.1007/s10462-025-11478-2,The quality of AI-generated answers for patient inquiries on urolithiasis: a comparative study of ChatGPT and Deepseek,"Patients increasingly rely on easily accessible online resources, often ignoring source credibility. Large Language Models such as ChatGPT and DeepSeek provide free, near human interaction on any imaginable topic, including medical conditions. While the benefi",1,10.0,0.0
Q6,cars that drive themselves without a human,10.1007/s10462-026-11649-9,Large language models and multimodal AI for mental health: a systematic review of early diagnosis and monitoring,"Mental health disorders (e.g., depression, anxiety, post-traumatic stress disorder (PTSD), bipolar disorder) represent a pressing global challenge, and early diagnosis with continuous monitoring is critical for effective intervention. However, traditional diag",1,10.0,0.0
Q7,protecting patient data when training models across hospitals,10.1007/s10462-024-11082-w,Advancements in securing federated learning with IDS: a comprehensive review of neural networks and feature engineering techniques for malicious client detection,"Federated Learning (FL) is a technique that can learn a global machine-learning model at a central server by aggregating locally trained models. This distributed machine-learning approach preserves the privacy of local models. However, FL systems are inherentl",3,6.0,0.0
Q7,protecting patient data when training models across hospitals,10.1007/s10462-025-11362-z,DAoG: decayed adaptation over gradients for parameter-free step size control,"As the scale of parameters in deep learning models continues to grow, the cost of training such models increases accordingly, posing increasingly significant challenges for stochastic optimization methods. A central issue in gradient-based optimization lies in",2,3.0,0.0
Q7,protecting patient data when training models across hospitals,10.1007/s10462-026-11517-6,"Lies, damned lies, and language statistics: a comprehensive review of risks from manipulation, persuasion, and deception with large language models","Large Language Models (LLMs) have the potential to produce content that is effective at persuading, deceiving, and manipulating people. Here we survey the possible risks of systems with these capabilities, including criminal fraud, political misinformation, ad",1,7.0,0.0
Q7,protecting patient data when training models across hospitals,10.1007/s10462-025-11481-7,Scaling transformers for time series forecasting: do pretrained large models outperform small-scale alternatives?,"Large pre-trained models have demonstrated remarkable capabilities across domains, but their comparative effectiveness in time series forecasting, especially against smaller, efficient models, remains underexplored. This work empirically examines whether pre-t",1,8.0,0.0
Q1,large language models,10.1007/s10462-025-11471-9,From language to action: a review of large language models as autonomous agents and tool users,"The pursuit of human-level artificial intelligence (AI) has significantly advanced the development of autonomous agents and Large Language Models (LLMs). LLMs are now widely utilized as decision-making agents for their ability to interpret instructions, manage",4,1.0,1.0
Q1,large language models,10.1007/s10462-026-11517-6,"Lies, damned lies, and language statistics: a comprehensive review of risks from manipulation, persuasion, and deception with large language models","Large Language Models (LLMs) have the potential to produce content that is effective at persuading, deceiving, and manipulating people. Here we survey the possible risks of systems with these capabilities, including criminal fraud, political misinformation, ad",4,1.0,1.0
Q1,large language models,10.1007/s10462-024-11078-6,Digital forgetting in large language models: a survey of unlearning methods,"Large language models (LLMs) have become the state of the art in natural language processing. The massive adoption of generative LLMs and the capabilities they have shown have prompted public concerns regarding their impact on the labor market, privacy, the us",4,2.0,1.0
Q1,large language models,10.1007/s10462-025-11389-2,Safeguarding large language models: a survey,"In the burgeoning field of Large Language Models (LLMs), developing a robust safety mechanism, colloquially known as “safeguards” or “guardrails”, has become imperative to ensure the ethical use of LLMs within prescribed boundaries. This article provides a sys",4,2.0,1.0
Q1,large language models,10.1007/s10462-025-11236-4,Parameter-efficient fine-tuning in large language models: a survey of methodologies,"The large language models, as predicted by scaling law forecasts, have made groundbreaking progress in many fields, particularly in natural language generation tasks, where they have approached or even surpassed human levels. However, the unprecedented scale o",3,1.0,1.0
Q1,large language models,10.1007/s10462-025-11418-0,Large language models for mental health diagnosis and treatment: a survey,"Mental health (MeHE) is a fundamental dimension of human well-being that encompasses emotional, psychological, and social aspects. Effective MeHE management enables individuals to cope with stress, maintain healthy relationships, and achieve their personal and",3,2.0,1.0
Q1,large language models,10.1007/s10462-025-11470-w,A survey on large language models driven meta-optimizers for automated intelligent optimization,"This review systematically summarizes the research progress of Large Language Models (LLMs) as meta-optimizers in the field of automated intelligent optimization algorithm design, aiming to establish a unified framework for this emerging research direction. Th",2,8.0,1.0
Q1,large language models,10.1007/s10462-025-11403-7,Datasets for large language models: a comprehensive survey,"This paper embarks on an exploration into the large language model (LLM) datasets, which play a crucial role in the remarkable advancements of LLMs. The datasets serve as the foundational infrastructure analogous to a root system that sustains and nurtures the",1,5.0,1.0
Q1,large language models,10.1007/s10462-025-11376-7,"A survey on large language models unlearning: taxonomy, evaluations, and future directions","Following the introduction of data privacy regulations and “the right to be forgotten”, large language models (LLMs) unlearning has emerged as a promising data removal solution for compliance purposes, while also facilitating a diverse range of applications, i",1,6.0,1.0
Q1,large language models,10.1007/s10462-025-11392-7,Legal lay summarization: exploring methods and data generation with large language models,"This paper explores advancements in Natural Language Processing (NLP) for legal lay summarization by systematically analyzing existing methodologies, datasets, and research findings. We review current literature, highlighting key challenges such as data scarci",1,6.0,1.0
Q1,large language models,10.1007/s10462-025-11365-w,Empowering scientific discovery with explainable small domain-specific and large language models,"As artificial intelligence (AI) increasingly integrates into scientific research, explainability has become a cornerstone for ensuring reliability and innovation in discovery processes. This review offers a forward-looking integration of explainable AI (XAI)-b",1,10.0,1.0
Q1,large language models,10.1007/s10462-025-11398-1,A systematic review of multi-modal large language models on domain-specific applications,"While Large Language Models (LLMs) have shown remarkable proficiency in text-based tasks, they struggle to interact effectively with the more realistic world without the perceptions of other modalities such as visual and audio. Multi-modal LLMs, which integrat",0,,1.0
Q1,large language models,10.1007/s10462-026-11623-5,A comprehensive survey of semantic role labeling in the era of pretrained language models,"Semantic role labeling (SRL) is a central natural language processing task for understanding predicate-argument structures within texts and enabling downstream applications. Despite extensive research, comprehensive surveys that critically synthesize the field",0,,1.0
Q1,large language models,10.1007/s10462-025-11405-5,"Text data augmentation for large language models: a comprehensive survey of methods, challenges, and opportunities","The increasing size and complexity of pre-trained language models have demonstrated superior performance in many applications, but they usually require large training datasets to be adequately trained. Insufficient training sets could unexpectedly lead the mod",0,,1.0
Q1,large language models,10.1007/s10462-026-11649-9,Large language models and multimodal AI for mental health: a systematic review of early diagnosis and monitoring,"Mental health disorders (e.g., depression, anxiety, post-traumatic stress disorder (PTSD), bipolar disorder) represent a pressing global challenge, and early diagnosis with continuous monitoring is critical for effective intervention. However, traditional diag",0,,1.0
Q1,large language models,10.1007/s10462-025-11290-y,From concept to manufacturing: evaluating vision-language models for engineering design,"Engineering design is undergoing a transformative shift with the advent of AI, marking a new era in how we approach product, system, and service planning. Large language models have demonstrated impressive capabilities in enabling this shift. Yet, with text as",0,,1.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-026-11645-z,Towards transparent financial AI: a systematic review of graph learning and explainable methods for credit risk and fraud detection,Graph-based learning and explainable artificial intelligence (XAI) are increasingly used to improve both predictive performance and transparency in financial risk modelling. This paper presents a systematic literature review of AI and machine learning approach,4,1.0,1.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11141-w,An assessment framework for explainable AI with applications to cybersecurity,"Several explainable AI methods are available, but there is a lack of a systematic comparison of such methods. This paper contributes in this direction, by providing a framework for comparing alternative explanations in terms of complexity and robustness. We ex",4,2.0,1.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11215-9,"Model-agnostic explainable artificial intelligence methods in finance: a systematic review, recent developments, limitations, challenges and future directions","The increasing integration of Artificial Intelligence (AI) and Machine Learning (ML)—algorithms that enable computers to identify patterns from data—in financial applications has significantly improved predictive capabilities in areas such as credit scoring, f",4,3.0,1.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11339-y,Individual variable priority: a model-independent local gradient method for variable importance,Traditional variable importance measures quantify overall feature contributions but often overlook individual-level heterogeneity. Several new procedures attempt to address this limitation but remain model dependent and may introduce biases. We propose individ,4,3.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11343-2,A novel ensemble learning-based soft measurement method for rod-pumping system efficiency,"Accurate prediction of rod-pumping system efficiency is crucial for evaluating the performance of such systems. Currently, the efficiency of rod-pumping systems is primarily estimated using mechanistic models. With the continuous advancement of information tec",4,4.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11299-3,A dual-driven MAGDM method based on single-valued neutrosophic credibility numbers Einstein variable extended power geometric aggregation operator and SPA-MARCOS,"Traditional multi-attribute group decision-making (MAGDM) methods primarily rely on expert knowledge-driven information, often overlooking the value of objective data in decision-making processes. To address this gap, this paper proposes a novel dual-driven MA",3,4.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11481-7,Scaling transformers for time series forecasting: do pretrained large models outperform small-scale alternatives?,"Large pre-trained models have demonstrated remarkable capabilities across domains, but their comparative effectiveness in time series forecasting, especially against smaller, efficient models, remains underexplored. This work empirically examines whether pre-t",3,6.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-026-11516-7,Methodological challenges in explainable AI for fraud detection: a systematic literature review,"As complex black-box Artificial Intelligence (AI) models become integral to high-stakes domains like fraud detection, the need for transparency is becoming critical. Explainable AI (XAI) aims to make algorithmic decisions understandable to stakeholders. While ",2,3.0,1.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11230-w,Soft voting ensemble classifier for liquefaction prediction based on SPT data,"Soil liquefaction, caused by increased porewater pressure, is a significant risk in seismically active areas, impacting infrastructure stability and challenging liquefaction forecasting due to intricate nonlinear interactions. This study proposes a soft voting",2,7.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11362-z,DAoG: decayed adaptation over gradients for parameter-free step size control,"As the scale of parameters in deep learning models continues to grow, the cost of training such models increases accordingly, posing increasingly significant challenges for stochastic optimization methods. A central issue in gradient-based optimization lies in",2,7.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11107-y,An experimental survey of imbalanced learning algorithms for bankruptcy prediction,"Information about imminent bankruptcy is crucial for financial institutions, decision-making managers, and state agencies. Since bankruptcy prediction is a prevalent research topic, many new methods have been continuously proposed. Bankruptcy prediction is fre",2,8.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11477-3,Deep learning based visually rich document content understanding: a survey,"Visually Rich Documents (VRDs) play a vital role in domains such as academia, finance, healthcare, and marketing, as they convey information through a combination of text, layout, and visual elements. Traditional approaches to extracting information from VRDs ",2,9.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-024-11077-7,A comprehensive review on financial explainable AI,"The success of artificial intelligence (AI), and deep learning models in particular, has led to their widespread adoption across various industries due to their ability to process huge amounts of data and learn complex patterns. However, due to their lack of e",1,7.0,1.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-026-11518-5,Beyond the black box: lessons in explainability from AI in mammography,"With AI already in clinical use, mammography serves as a critical test-bed for the challenges and potential of medical AI. However, its progress is hampered by the ‘black box’ nature of current AI algorithms, limiting clinician trust and transparency. This rev",1,8.0,1.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-025-11155-4,Power aggregation operators based on Aczel-Alsina T-norm and T-conorm for intuitionistic hesitant fuzzy information and their application to logistics service provider selection,"Logistics service provider selection is a skilled and effective technique used to evaluate and identify third-party enterprises or organizations capable of managing and performing logistics tasks on behalf of a business. In this study, we aim to propose a logi",1,10.0,0.0
Q10,explainability methods that are not based on gradients,10.1007/s10462-026-11553-2,Explainable artificial intelligence techniques for interpretation of food models: a review,"Artificial Intelligence (AI) has become essential for analyzing complex data and solving highly-challenging tasks. It is being applied across numerous disciplines beyond computer science, including Food Engineering, where there is a growing demand for accurate",1,10.0,1.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11194-x,Script identification in multilingual environment: a survey in recent years,"Multilingualism is an important trend in the field of optical character recognition (OCR). In a multilingual environment, the task of script identification often combines with other tasks to complete multilingual work jointly. As a front-end function of a mult",4,1.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11370-z,A computer graphics-based model to generate dynamic 3D animations for corresponding Bangla sign language gestures using HamNoSys to SiGML conversion,"Effective communication is essential for human touch, and it’s especially crucial for those who rely on sign language because they have speech or hearing difficulties. Communication between deaf and normal people is restricted by the inability of current techn",4,1.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11188-9,Decoding synthetic news: an interpretable multimodal framework for the classification of news articles in a novel news corpus,"Recent advancements in Artificial Intelligence (AI), notably the development of Large Language Models (LLMs) and text-to-image diffusion models, have facilitated the creation of realistic textual content and images. Specifically, platforms like ChatGPT and Mid",4,3.0,1.0
Q2,systems that automatically create new text and images,10.1007/s10462-026-11546-1,Generative Artificial Intelligence Models: A Survey,"Generative Artificial Intelligence (GenAI) has seen a remarkable growth in recent years, expanding beyond traditional discriminative tasks to the generation of new content, such as text, images, and videos, based on patterns discovered in the existing data. Ad",4,4.0,1.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11337-0,Automatic radiology report generation with deep learning: a comprehensive review of methods and advances,"Automatic report generation refers to the process of generating medical reports from medical images without the need for manual intervention, enabling faster, more consistent, and objective analysis of radiological data. The rapid progress in deep learning, pa",3,4.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-026-11624-4,Bridging modalities: a Survey and Taxonomy of Automated Multimodal Machine Learning (MMAutoML),"Automated machine learning (AutoML) reduces the cost of developing high-performing models by automating pipeline design, model selection, and hyperparameter optimization. As data sets increasingly combine heterogeneous sources (e.g., text, images, audio, and s",3,4.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-026-11556-z,Automatic radiology report generation: a systematic review of emerging AI architectures and multimodal technologies,"Generating radiology reports from medical images is a labour-intensive task, exacerbated by the global shortage of radiologists and the complexity of image interpretation. Automatic radiology report generation (ARRG) has emerged to address this challenge, with",3,6.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11112-1,Text analytics for co-creation in public sector organizations: a literature review-based research framework,"The public sector faces considerable challenges that stem from increasing external and internal demands, the need for diverse and complex services, and citizens’ lack of satisfaction and trust in public sector organisations (PSOs). An alternative to traditiona",3,7.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11463-9,Structured sentiment analysis as transition-based dependency graph parsing,Structured sentiment analysis (SSA) aims to automatically extract people’s opinions from a text in natural language and adequately represent that information in a graph structure. One of the most accurate methods for performing SSA was recently proposed and co,3,9.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11123-y,Dmixnet: a dendritic multi-layered perceptron architecture for image recognition,"In the field of image recognition, the all-MLP architecture (MLP-Mixer) shows superior performance. However, the current MLP-Mixer is solely based on fully connected layers. The nonlinear capability of fully connected layers is relatively weak, and their simpl",2,5.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-026-11643-1,"Exploring generative AI through core frameworks, emerging innovations, and applications","Generative Artificial Intelligence has undergone rapid maturation between 2023 and 2025, driven by three converging paradigm shifts: the emergence of multimodal foundation models unifying text, image, audio, and video synthesis; the rise of agentic autonomy tr",2,6.0,1.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11135-8,A critical review of artificial intelligence based techniques for automatic prediction of cephalometric landmarks,"Automatic cephalometric landmark detection has emerged as a pivotal area of research that combines medical imaging, computer vision, and orthodontics. The identification of cephalometric landmarks is of utmost importance in the field of orthodontics, as it con",2,9.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11408-2,A review of artificial intelligence in herbarium specimen image analysis,"The digitisation of hundreds of millions of herbarium specimen images and their labels has created an unprecedented resource for taxonomy, ecology, and conservation, motivating the development of artificial intelligence (AI) solutions. Automated analysis of th",1,7.0,0.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11435-z,"A systematic review of generative AI: importance of industry and startup-centered perspectives, agentic AI, ethical considerations & challenges, and future directions",Generative Artificial Intelligence (GenAI) is rapidly redefining the landscape of work organizations and society at large. GenAI has rapidly evolved from rule-based symbolic systems ofThe 1940 s to advanced deep learning architectures capable of producing huma,1,8.0,1.0
Q2,systems that automatically create new text and images,10.1007/s10462-025-11359-8,A survey of classification tasks and approaches for legal contracts,"Given the large size and volumes of contracts and their underlying inherent complexity, manual reviews become inefficient and prone to errors, creating a clear need for automation. Automatic Legal Contract Classification (LCC) revolutionizes the way legal cont",1,10.0,0.0
Q3,artificial intelligence applications,10.1007/s10462-024-11079-5,Application of deep learning for high-throughput phenotyping of seed: a review,Seed quality is of great importance for agricultural cultivation. High-throughput phenotyping techniques can collect magnificent seed information in a rapid and non-destructive manner. Emerging deep learning technology brings new opportunities for effectively ,4,1.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11211-z,A comprehensive review of machine learning applications for internet of nano things: challenges and future directions,"In recent years, advances in nanotechnology and the Internet of Things (IoT) have led to the development of the revolutionary Internet of Nano Things (IoNT). IoNT, has found very similar real-life applications in agriculture, military, multimedia, and healthca",4,1.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11311-w,Enhancing CCTA image quality: a review of deep learning approaches for advanced artifact correction and denoising,"Cardiac imaging is vital for diagnosing coronary artery disease (CAD), with coronary computed tomography angiography (CCTA) being commonly used to evaluate coronary vessels for stenosis, calcification, and atherosclerosis. However, CCTA images often suffer fro",0,,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11427-z,Correction: Enhancing CCTA image quality: a review of deep learning approaches for advanced artifact correction and denoising,Correction to: Artificial Intelligence Review (2025) 58:331,0,,0.0
Q3,artificial intelligence applications,10.1007/s10462-025-11171-4,A review on 3D Gaussian splatting for sparse view reconstruction,"Sparse view 3D reconstruction remains challenging due to inherent data scale limitations. Mainstream sparse view 3D reconstruction algorithms based on the NeRF framework struggle to balance generation quality and real-time performance. Recently, the advent of ",0,,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11379-4,PPG-based glucose sensors: a review,"Non-invasive and continuous blood glucose monitoring is crucial for effective diabetes management. Photoplethysmography (PPG) signal in wearable devices has gained recognition as a potential approach because of its simplicity, accessibility, and remote monitor",0,,0.0
Q3,artificial intelligence applications,10.1007/s10462-025-11290-y,From concept to manufacturing: evaluating vision-language models for engineering design,"Engineering design is undergoing a transformative shift with the advent of AI, marking a new era in how we approach product, system, and service planning. Large language models have demonstrated impressive capabilities in enabling this shift. Yet, with text as",0,,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11312-9,Policy weighting via discounted Thomson sampling for non-stationary market-making,"Market-making is an essential activity in every financial market. They provide liquidity to the system by placing buy and sell orders at multiple price levels. While performing this task, they aim to earn profit and manage inventory levels simultaneously. Howe",0,,0.0
Q3,artificial intelligence applications,10.1007/s10462-024-11095-5,AncientGlyphNet: an advanced deep learning framework for detecting ancient Chinese characters in complex scene,"Detecting ancient Chinese characters in various media, including stone inscriptions, calligraphy, and couplets, is challenging due to the complex backgrounds and diverse styles. This study proposes an advanced deep-learning framework for detecting ancient Chin",0,,1.0
